param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
3,2.0,43.0,1.8827776908874512,1.3721434658545917,1.1279165744781494,0.34343016147613525,3.900611162185669,1.9749964967527582,1.6378333568572998,-0.34458863735198975
5,2.0,43.0,2.2505650520324707,1.500188338853649,1.2588750123977661,0.2151739001274109,3.4764599800109863,1.8645267442466429,1.5703001022338867,-0.1983785629272461
11,2.0,43.0,2.6042263507843018,1.6137615532612932,1.3802611827850342,0.09184366464614868,3.179053783416748,1.782990124318345,1.5255000591278076,-0.09585893154144287
21,2.0,43.0,2.7452754974365234,1.6568872917119386,1.428482174873352,0.04265648126602173,3.040566921234131,1.7437221456511158,1.5052381753921509,-0.048120856285095215
