param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
3,2.0,43.0,2.854937107426044,1.6896559139144405,1.47983741729191,0.004414760013273122,2.9123728967870917,1.7065675775623685,1.496805269833999,-0.003930805134073401
5,2.0,43.0,2.8141137304026462,1.6775320355816297,1.4620388440625554,0.0186508535178167,2.9622000767593364,1.721104318964814,1.5028418981713008,-0.02110684772198579
10,2.0,43.0,2.2288184479817748,1.4929227846856936,1.2170324491464906,0.2227573967745413,3.5949943384595957,1.8960460650731414,1.6069011781335611,-0.23923882296931778
20,2.0,43.0,0.036259728155616316,0.19041749348707548,0.03375793271056429,0.9873553606264168,6.192046640528326,2.488375137430187,2.011034231411863,-1.134474735742531
