param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
0.01,2.0,43.0,2.8482842840490843,1.6876860739038773,1.4804772877759076,0.0067347595471021204,2.9051691508510955,1.7044556758247176,1.4964152418431598,-0.001447585191502121
0.05,2.0,43.0,2.7961039252412143,1.672155472807841,1.4629239734440436,0.02493130577265586,2.9150650107834344,1.7073561464391178,1.4955209773518228,-0.00485880998360444
0.1,2.0,43.0,2.742381315877369,1.6560136822736002,1.4451468991930347,0.0436656718632766,2.9320685371626447,1.7123283964130962,1.4958414037530041,-0.010720134935100564
0.2,2.0,43.0,2.653478623751796,1.6289501599962461,1.4158282426944728,0.07466817900960876,2.9574075549781877,1.7197114743404451,1.4943166051349148,-0.019454806441255783
