experiment_id,task_name,problem_type,owner,method_name,model_key,tuned_param,param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,50,1,42,1.987986802424179,1.4099598584442676,1.2204450102333004,0.3067411843736412,2.9342259738850602,1.7129582522306432,1.494587741144846,-0.011463829943438864
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,50,2,43,2.0201739263544667,1.4213282261161448,1.2317165678179924,0.29551676005295646,2.9289397867045053,1.7114145572316795,1.4903195079488327,-0.009641616119749452
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,50,3,44,1.998506169651883,1.4136853149311142,1.2244494884739354,0.3030728279959609,2.9407642188912657,1.7148656562224533,1.4971070054125053,-0.013717643519469913
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,100,1,42,1.9811169377854798,1.4075215585508734,1.2210184738486598,0.309136871415995,2.944239707800324,1.715878698451707,1.497632616279185,-0.014915687349144058
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,100,2,43,1.9939776955817117,1.4120827509681264,1.2257170115638032,0.3046520158289251,2.9323304336086604,1.712404868484279,1.4934301713922022,-0.010810413865453228
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,100,3,44,1.9748559900678342,1.4052956948869637,1.218885789889807,0.3113202144815227,2.9351621433854036,1.7132314914760947,1.4958483789303219,-0.011786539099693627
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,200,1,42,1.97542707464731,1.405498870382794,1.220056336832143,0.31112106355219715,2.938978052026783,1.714344787966173,1.49608654840819,-0.013101929803571277
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,200,2,43,1.9805969798554184,1.407336839514769,1.222721008048149,0.30931819325290577,2.9310397371703902,1.7120279603938688,1.4941535440143918,-0.010365494907484063
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,200,3,44,1.9691160109817456,1.4032519413782207,1.2182146832189595,0.3133218832542175,2.935936989532236,1.7134576124118845,1.4954101926932895,-0.012053638109200016
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,300,1,42,1.9769639849804421,1.4060455131255325,1.2210621010330247,0.31058510595128563,2.9368589213482954,1.7137266180310953,1.4958055101051624,-0.012371439360336689
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,300,2,43,1.979692092048604,1.407015313366775,1.2224638530520415,0.30963374939666977,2.9361957969155665,1.7135331327160168,1.4966251770712131,-0.012142852201601384
regression_children_random_forest_n_estimators,regression_children,regression,person2,random_forest,random_forest_regression,n_estimators,300,3,44,1.9720508112414996,1.4042972659809245,1.2193028613624817,0.31229844781204263,2.935352884030676,1.713287157493068,1.4959976160332666,-0.011852289749204159
