param_value,repeat,random_seed,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
3,2.0,43.0,0.9126249999999999,0.5952920531513688,0.7361111111111112,0.19850187265917604,0.31268436578171094,0.878,0.5033333333333333,0.1206896551724138,0.035,0.054263565891472874
5,2.0,43.0,0.9013750000000001,0.5246883713735383,0.581081081081081,0.05368289637952559,0.09828571428571427,0.8935,0.5030555555555556,0.15789473684210525,0.015,0.0273972602739726
11,2.0,43.0,0.8998750000000001,0.5005547656344973,0.5,0.0012484394506866417,0.0024906600249066002,0.8995000000000001,0.49972222222222223,0.0,0.0,0.0
21,2.0,43.0,0.8998750000000001,0.5,0.0,0.0,0.0,0.9,0.5,0.0,0.0,0.0
