param_value,repeat,random_seed,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
3,2.0,43.0,0.8998750000000001,0.5,0.0,0.0,0.0,0.9,0.5,0.0,0.0,0.0
5,2.0,43.0,0.9005,0.5031210986267166,1.0,0.006242197253433207,0.01240694789081886,0.9,0.5,0.0,0.0,0.0
10,2.0,43.0,0.9185,0.6031794423752732,0.9012555636390304,0.20890553474823137,0.33918676339478854,0.8725,0.5010185185185185,0.10524840585803379,0.036666666666666674,0.05437852131330303
20,2.0,43.0,0.99225,0.9668460333736878,0.9868247694334652,0.9350811485642946,0.9602564102564103,0.7868333333333334,0.4875,0.08349375038191072,0.11333333333333333,0.09614970658575965
