experiment_id,task_name,problem_type,owner,method_name,model_key,tuned_param,param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.01,1,42,2.8482842840490843,1.6876860739038775,1.4804772877759078,0.0067347595471021204,2.9051691508510955,1.7044556758247178,1.4964152418431598,-0.001447585191502121
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.01,2,43,2.8482842840490843,1.6876860739038775,1.4804772877759076,0.0067347595471021204,2.9051691508510955,1.7044556758247178,1.4964152418431598,-0.001447585191502121
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.01,3,44,2.8482842840490843,1.6876860739038775,1.4804772877759076,0.0067347595471021204,2.9051691508510955,1.7044556758247178,1.4964152418431598,-0.001447585191502121
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.05,1,42,2.7961039252412148,1.6721554728078412,1.4629239734440436,0.024931305772655787,2.9150650107834344,1.7073561464391178,1.4955209773518228,-0.00485880998360444
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.05,2,43,2.7961039252412148,1.6721554728078412,1.4629239734440436,0.024931305772655787,2.9150650107834344,1.7073561464391178,1.4955209773518228,-0.00485880998360444
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.05,3,44,2.7961039252412143,1.672155472807841,1.4629239734440438,0.02493130577265601,2.9150650107834344,1.7073561464391178,1.495520977351823,-0.00485880998360444
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.1,1,42,2.7423813158773687,1.6560136822736002,1.4451468991930345,0.043665671863276745,2.9320685371626447,1.712328396413096,1.4958414037530041,-0.01072013493510049
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.1,2,43,2.742381315877369,1.6560136822736005,1.4451468991930345,0.04366567186327652,2.932068537162645,1.7123283964130962,1.4958414037530041,-0.010720134935100711
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.1,3,44,2.742381315877369,1.6560136822736005,1.4451468991930345,0.04366567186327652,2.9320685371626447,1.712328396413096,1.4958414037530041,-0.01072013493510049
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.2,1,42,2.653478623751796,1.6289501599962461,1.4158282426944728,0.07466817900960876,2.9574075549781877,1.7197114743404451,1.4943166051349148,-0.019454806441255856
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.2,2,43,2.653478623751796,1.6289501599962461,1.4158282426944728,0.07466817900960876,2.9574075549781873,1.7197114743404451,1.4943166051349148,-0.019454806441255634
regression_children_gradient_boosting_learning_rate,regression_children,regression,person3,gradient_boosting,gradient_boosting_regression,learning_rate,0.2,3,44,2.653478623751796,1.6289501599962461,1.4158282426944728,0.07466817900960876,2.9574075549781877,1.7197114743404451,1.4943166051349148,-0.019454806441255856
