param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
50,2.0,43.0,2.002222299476843,1.4149911331638423,1.225537022175076,0.30177692414085283,2.9346433264936103,1.7130794885615919,1.4940047515020616,-0.011607696527552743
100,2.0,43.0,1.9833168744783418,1.4083000014686544,1.22187375843409,0.3083697005754809,2.937244094931463,1.7138383528040269,1.4956370555339031,-0.01250421343809697
200,2.0,43.0,1.9750466884948246,1.4053625504252611,1.2203306760330839,0.3112537133531068,2.9353182595764697,1.7132767869239753,1.4952167617052903,-0.011840354273418452
300,2.0,43.0,1.9762356294235153,1.4057860308244106,1.220942938482516,0.3108391010533327,2.936135867431513,1.71351563608006,1.4961427677365473,-0.012122193770380743
