experiment_id,task_name,problem_type,owner,method_name,model_key,tuned_param,param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,3,1,42,2.8549371074260437,1.6896559139144407,1.4798374172919098,0.004414760013273122,2.9123728967870917,1.7065675775623688,1.496805269833999,-0.003930805134073401
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,3,2,43,2.8549371074260437,1.6896559139144407,1.4798374172919098,0.004414760013273122,2.9123728967870917,1.7065675775623688,1.496805269833999,-0.003930805134073401
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,3,3,44,2.8549371074260437,1.6896559139144407,1.4798374172919098,0.004414760013273122,2.9123728967870917,1.7065675775623688,1.496805269833999,-0.003930805134073401
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,5,1,42,2.8141137304026462,1.6775320355816297,1.4620388440625551,0.0186508535178167,2.962200076759337,1.721104318964814,1.5028418981713008,-0.02110684772198579
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,5,2,43,2.8141137304026462,1.6775320355816297,1.4620388440625551,0.0186508535178167,2.962200076759337,1.721104318964814,1.5028418981713008,-0.02110684772198579
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,5,3,44,2.8141137304026462,1.6775320355816297,1.4620388440625551,0.0186508535178167,2.962200076759337,1.721104318964814,1.5028418981713008,-0.02110684772198579
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,10,1,42,2.2291115666686436,1.4930209531914291,1.217511994601036,0.22265517923796163,3.605084204857027,1.8987059290098156,1.6056462358536192,-0.24271692417924307
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,10,2,43,2.2285031386383407,1.492817181920928,1.2167051764192178,0.22286735272682356,3.5915580773130342,1.8951406484250803,1.6078125778449608,-0.23805430143248985
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,10,3,44,2.2288406386383404,1.4929302189447236,1.2168801764192176,0.22274965835883864,3.5883407332087254,1.8942916177845284,1.6072447207021037,-0.23694524329622046
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,20,1,42,0.036743250882889045,0.19168529125336936,0.03401386705399863,0.987186744621105,6.149968196650774,2.4799129413450736,2.003488596491228,-1.1199697779167725
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,20,2,43,0.03616692512531328,0.19017603720057183,0.033907048872180455,0.9873877232753017,6.212429222727873,2.4924745179696166,2.0155005012531326,-1.1415008628503878
regression_children_decision_tree_max_depth,regression_children,regression,person2,decision_tree,decision_tree_regression,max_depth,20,3,44,0.03586900845864662,0.18939115200728524,0.03335288220551379,0.987491613982844,6.213742502206331,2.49273795297587,2.014113596491228,-1.1419535664604332
