task,run_id,param_name,param_value,train_metric,test_metric,epochs,learning_rate,batch_size,hidden_layers,hidden_units
regression_years,1778525100_0,batch_size,32,188.14099215372082,204.55536789728316,100,0.01,32,2,16-8
regression_years,1778525100_1,batch_size,32,194.81409619432006,200.4614184727018,100,0.01,32,2,16-8
regression_years,1778525100_2,batch_size,32,191.00209289525657,203.8376451166034,100,0.01,32,2,16-8
regression_years,1778525100_0,batch_size,64,194.90563023554233,201.7218834090824,100,0.01,64,2,16-8
regression_years,1778525100_1,batch_size,64,193.98161831910824,203.7716388883445,100,0.01,64,2,16-8
regression_years,1778525100_2,batch_size,64,192.48702481240827,202.49503227197425,100,0.01,64,2,16-8
regression_years,1778525100_0,batch_size,128,192.49231983451057,206.9788336400999,100,0.01,128,2,16-8
regression_years,1778525100_1,batch_size,128,193.65633748589136,202.88677637942428,100,0.01,128,2,16-8
regression_years,1778525100_2,batch_size,128,191.43559517098942,205.95743378128537,100,0.01,128,2,16-8
regression_years,1778525173_0,learning_rate,0.001,182.98878941845842,209.94475582485288,100,0.001,32,2,16-8
regression_years,1778525173_1,learning_rate,0.001,180.20530334589267,212.44007759764966,100,0.001,32,2,16-8
regression_years,1778525173_2,learning_rate,0.001,184.06217260092671,218.24669880209862,100,0.001,32,2,16-8
regression_years,1778525173_0,learning_rate,0.01,188.14099215372082,204.55536789728316,100,0.01,32,2,16-8
regression_years,1778525173_1,learning_rate,0.01,194.81409619432006,200.4614184727018,100,0.01,32,2,16-8
regression_years,1778525173_2,learning_rate,0.01,191.00209289525657,203.8376451166034,100,0.01,32,2,16-8
regression_years,1778525173_0,learning_rate,0.05,197.55504249192654,200.39740722901797,100,0.05,32,2,16-8
regression_years,1778525173_1,learning_rate,0.05,197.04989824766585,199.85578193502604,100,0.05,32,2,16-8
regression_years,1778525173_2,learning_rate,0.05,197.27554824349016,200.1017293375112,100,0.05,32,2,16-8
regression_years,1778525173_0,learning_rate,0.1,198.09403331997902,200.95902884350443,100,0.1,32,2,16-8
regression_years,1778525173_1,learning_rate,0.1,197.1680309326055,199.98604383519455,100,0.1,32,2,16-8
regression_years,1778525173_2,learning_rate,0.1,197.28870409499945,200.115780654981,100,0.1,32,2,16-8
regression_years,1778525250_0,activation,relu,188.14099215372082,204.55536789728316,100,0.01,32,2,16-8
regression_years,1778525250_1,activation,relu,194.81409619432006,200.4614184727018,100,0.01,32,2,16-8
regression_years,1778525250_2,activation,relu,191.00209289525657,203.8376451166034,100,0.01,32,2,16-8
regression_years,1778525250_0,activation,sigmoid,176.9211176524897,223.02299050110574,100,0.01,32,2,16-8
regression_years,1778525250_1,activation,sigmoid,173.76269837361,220.91331597096814,100,0.01,32,2,16-8
regression_years,1778525250_2,activation,sigmoid,177.25658851976837,214.97422752590919,100,0.01,32,2,16-8
regression_years,1778525250_0,activation,tanh,180.36205542461317,216.05563280378817,100,0.01,32,2,16-8
regression_years,1778525250_1,activation,tanh,182.003962628313,209.64697029779055,100,0.01,32,2,16-8
regression_years,1778525250_2,activation,tanh,180.84101535715874,215.21003038519265,100,0.01,32,2,16-8
regression_years,1778525250_0,activation,leaky_relu,185.215444210254,210.22882586550142,100,0.01,32,2,16-8
regression_years,1778525250_1,activation,leaky_relu,nan,nan,100,0.01,32,2,16-8
regression_years,1778525250_2,activation,leaky_relu,nan,nan,100,0.01,32,2,16-8
regression_years,1778525338_0,weight_init,xavier,188.14099215372082,204.55536789728316,100,0.01,32,2,16-8
regression_years,1778525338_1,weight_init,xavier,194.81409619432006,200.4614184727018,100,0.01,32,2,16-8
regression_years,1778525338_2,weight_init,xavier,191.00209289525657,203.8376451166034,100,0.01,32,2,16-8
regression_years,1778525338_0,weight_init,he,194.722709043034,201.98002217093511,100,0.01,32,2,16-8
regression_years,1778525338_1,weight_init,he,192.72477729823018,200.40332329263015,100,0.01,32,2,16-8
regression_years,1778525338_2,weight_init,he,187.22077824620447,206.53491014998278,100,0.01,32,2,16-8
regression_years,1778525338_0,weight_init,random,197.0959094703819,199.9071454737536,100,0.01,32,2,16-8
regression_years,1778525338_1,weight_init,random,192.19194959684367,202.09372149083111,100,0.01,32,2,16-8
regression_years,1778525338_2,weight_init,random,186.4889559006002,217.17744106709705,100,0.01,32,2,16-8
regression_years,1778525338_0,weight_init,lecun,196.0277687930923,200.94177023569523,100,0.01,32,2,16-8
regression_years,1778525338_1,weight_init,lecun,196.96364439113518,199.74375100324735,100,0.01,32,2,16-8
regression_years,1778525338_2,weight_init,lecun,196.98968119152238,199.78553113807735,100,0.01,32,2,16-8
regression_years,1778525376_0,hidden_layer_sizes,[32],168.14882734632278,227.6530603698736,100,0.01,32,1,32
regression_years,1778525376_1,hidden_layer_sizes,[32],168.8723405219803,233.5372026376722,100,0.01,32,1,32
regression_years,1778525376_2,hidden_layer_sizes,[32],169.22539753779714,228.31231103228453,100,0.01,32,1,32
regression_years,1778525376_0,hidden_layer_sizes,"[32, 32]",183.88462917854176,215.87235026071338,100,0.01,32,2,32-32
regression_years,1778525376_1,hidden_layer_sizes,"[32, 32]",196.97270641278487,199.76369032739538,100,0.01,32,2,32-32
regression_years,1778525376_2,hidden_layer_sizes,"[32, 32]",192.1174647716555,206.16753504418972,100,0.01,32,2,32-32
regression_years,1778525376_0,hidden_layer_sizes,"[32, 32, 32]",184.25750016516196,222.3327589492401,100,0.01,32,3,32-32-32
regression_years,1778525376_1,hidden_layer_sizes,"[32, 32, 32]",196.97179933040658,199.74731408108985,100,0.01,32,3,32-32-32
regression_years,1778525376_2,hidden_layer_sizes,"[32, 32, 32]",191.9217091370127,205.82288154746809,100,0.01,32,3,32-32-32
regression_years,1778525376_0,hidden_layer_sizes,"[32, 32, 32, 32]",nan,nan,100,0.01,32,4,32-32-32-32
regression_years,1778525376_1,hidden_layer_sizes,"[32, 32, 32, 32]",nan,nan,100,0.01,32,4,32-32-32-32
regression_years,1778525376_2,hidden_layer_sizes,"[32, 32, 32, 32]",nan,nan,100,0.01,32,4,32-32-32-32
regression_years,1778525434_0,test_size,0.1,195.40849586014517,200.9199347807311,100,0.01,32,2,16-8
regression_years,1778525434_1,test_size,0.1,194.11418538851143,202.32559246686577,100,0.01,32,2,16-8
regression_years,1778525434_2,test_size,0.1,191.4847828831197,203.33131393147477,100,0.01,32,2,16-8
regression_years,1778525434_0,test_size,0.2,188.14099215372082,204.55536789728316,100,0.01,32,2,16-8
regression_years,1778525434_1,test_size,0.2,194.81409619432006,200.4614184727018,100,0.01,32,2,16-8
regression_years,1778525434_2,test_size,0.2,191.00209289525657,203.8376451166034,100,0.01,32,2,16-8
regression_years,1778525434_0,test_size,0.3,189.73018259929435,206.01727942556093,100,0.01,32,2,16-8
regression_years,1778525434_1,test_size,0.3,190.0810439188716,206.2609040161947,100,0.01,32,2,16-8
regression_years,1778525434_2,test_size,0.3,191.26767378301034,203.91940062403594,100,0.01,32,2,16-8
regression_years,1778525434_0,test_size,0.4,193.6455447634682,207.6576538176471,100,0.01,32,2,16-8
regression_years,1778525434_1,test_size,0.4,191.0879555909859,202.57819174818584,100,0.01,32,2,16-8
regression_years,1778525434_2,test_size,0.4,187.34045715914039,206.55478015300847,100,0.01,32,2,16-8
